bird_ID,band_number,dpi,elisa_od,elisa_cv,elisa_sp,rerun,exclude,reason,,,
2667_28,2667,28,0.045,0.31,0,,0,,,,
2690_28,2690,28,0.049,1.02,0.01,,0,,,,
2929_28,2929,28,0.054,0.39,0.01,,0,,,,
2847_28,2847,28,0.052,18.34,0.01,y,1,CV,,,
2741_28,2741,28,0.062,8.2,0.03,,0,,,,
2939_28,2939,28,0.043,0.82,0,,0,,,,
2573_28,2573,28,0.044,3.02,0,,0,,,,
2842_28,2842,28,0.043,1.3,0,,0,,,,
2632_28,2632,28,0.044,0.65,0,,0,,,,
2653_28,2653,28,0.061,1.75,0.02,,0,,,,
2648_28,2648,28,0.049,2.18,0,,0,,,,
2903_28,2903,28,0.047,0.45,0,,0,,,,
2687_28,2687,28,0.048,1.47,0,,0,,,,
2921_28,2921,28,0.05,16.59,0.01,y,1,CV; Not enough plasma,,,
2892_28,2892,28,0.043,1.96,0,,0,,,,
2718_28,2718,28,0.046,5.74,0,,0,,,,
2789_28,2789,28,0.045,2.22,0,,0,,,,
2926_28,2926,28,0.078,8.88,0.05,,0,,,,
2874_28,2874,28,0.048,6.92,0,,0,,,,
2914_28,2914,28,0.043,1.47,0,,0,,,,
2623_28,2623,28,0.046,6.34,0,,0,,,,
2928_28,2928,28,0.043,0.66,0,,0,,,,
2603_28,2603,28,0.049,7.44,0,,0,,,,
2581_28,2581,28,0.07,6.18,0.04,,0,,,,
2775_28,2775,28,0.073,1.75,0.04,,0,,,,
2889_28,2889,28,0.052,0.95,0.01,,0,,,,
2850_28,2850,28,0.076,0.19,0.04,,0,,,,
2689_28,2689,28,0.056,8.66,0.02,,0,,,,
2813_28,2813,28,0.051,4.6,0,,0,,,,
2880_28,2880,28,0.052,2.56,0.01,,0,,,,
2894_28,2894,28,0.058,6.18,0.02,,0,,,,
2750_28,2750,28,0.054,14.92,0.01,y,1,CV; Not enough plasma,,,
2920_28,2920,28,0.05,8.79,0.01,,0,,,,
2906_28,2906,28,0.047,9.21,0,,0,,,,
2907_28,2907,28,0.047,7.46,0,,0,,,,
2883_28,2883,28,0.066,5.32,0.03,,0,,,,
2799_28,2799,28,0.045,1.58,0,,0,,,,
2869_28,2869,28,0.045,3.29,0,,1,Not enough plasma first run,,,
2764_28,2764,28,0.045,2.06,0,,0,,,,
2879_28,2879,28,0.047,1.21,0,,0,,,,
2846_28,2846,28,0.046,4.6,0,,0,,,,
2911_28,2911,28,0.045,1.57,0,,0,,,,
2802_28,2802,28,0.047,1.21,0,,0,,,,
2704_28,2704,28,0.052,9.19,0.01,,0,,,,
2655_28,2655,28,0.045,9.3,0,,0,,,,
2904_28,2904,28,0.048,0.44,0.01,,0,,,,
2764_9,2764,9,0.046,5.56,0,,0,,,,
2920_9,2920,9,0.054,6.24,0.02,,0,,,,
2892_9,2892,9,0.045,2.21,0,,0,,,,
2894_9,2894,9,0.052,1.51,0.01,,0,,,,
2926_9,2926,9,0.081,7.9,0.05,,0,,,,
2603_9,2603,9,0.045,0.16,0,,0,,,,
2623_9,2623,9,0.043,1.48,0,,0,,,,
2914_9,2914,9,0.045,2.35,0,,0,,,,
2690_9,2690,9,0.043,0.49,0,,0,,,,
2907_9,2907,9,0.045,1.57,0,,0,,,,
2581_9,2581,9,0.043,0.82,0,,0,,,,
2880_9,2880,9,0.047,9.17,0.01,,0,,,,
2883_9,2883,9,0.049,5.82,0.01,,0,,,,
2889_9,2889,9,0.044,0.8,0,,0,,,,
2648_9,2648,9,0.049,5.01,0,,0,,,,
2741_9,2741,9,0.043,0.33,0,,0,,,,
2904_9,2904,9,0.046,0.16,0,,0,,,,
2903_9,2903,9,0.046,4.61,0,,0,,,,
3687_9,3687,9,0.049,0.43,0.01,,0,,,,
2689_9,2689,9,0.043,2.77,0,,0,,,,
2928_9,2928,9,0.044,7.64,0,,0,,,,
2874_9,2874,9,0.044,0.97,0,,0,,,,
2653_9,2653,9,0.043,0.49,0,,0,,,,
2655_9,2655,9,0.045,1.11,0,,0,,,,
2879_9,2879,9,0.055,9.05,0.01,,0,,,,
2850_9,2850,9,0.047,0.15,0,,0,,,,
2775_9,2775,9,0.047,1.97,0.01,,0,,,,
2869_9,2869,9,0.047,7.93,0.01,,0,,,,
2573_10,2573,10,0.062,38.18,0.02,y,1,CV,,,
2799_10,2799,10,0.044,0.32,0,,0,,,,
2906_10,2906,10,0.044,3.82,0,,0,,,,
2789_10,2789,10,0.046,0,0,,0,,,,
2911_10,2911,10,0.044,5.61,0,,0,,,,
2750_10,2750,10,0.045,0.63,0,,0,,,,
2921_10,2921,10,0.046,3.05,0,,0,,,,
2802_10,2802,10,0.045,7.26,0,,0,,,,
2704_10,2704,10,0.044,1.28,0,,0,,,,
2813_10,2813,10,0.046,0.77,0,,0,,,,
2846_10,2846,10,0.044,0.8,0,,0,,,,
2929_10,2929,10,0.044,2.9,0,,0,,,,
2718_10,2718,10,0.044,1.77,0,,0,,,,
2939_10,2939,10,0.043,1.8,0,,0,,,,
2632_10,2632,10,0.046,0.62,0,,0,,,,
2842_10,2842,10,0.046,0.77,0,,0,,,,
2573_-28,2573,-28,0.047,1.5,,,0,,,,
2603_-28,2603,-28,0.048,2.8,,,0,,,,
2581_-28,2581,-28,0.045,8.7,,,0,,,,
2623_-28,2623,-28,0.0437,0.65,,,0,,,,
2632_-28,2632,-28,0.04365,2.43,,,0,,,,
2648_-28,2648,-28,0.053,3.1,,,0,,,,
2653_-28,2653,-28,0.0486,0.29,,,0,,,,
2655_-28,2655,-28,0.04515,0.16,,,0,,,,
2667_-28,2667,-28,0.062,0.9,,,0,,,,
2684_-28,2684,-28,0.04495,6.45,,,0,,,,
2687_-28,2687,-28,0.046,8.7,,,0,,,,
2689_-28,2689,-28,0.0446,5.39,,,0,,,,
2690_-28,2690,-28,0.047,1.8,,,0,,,,
2704_-28,2704,-28,0.0454,2.18,,,0,,,,
2718_-28,2718,-28,0.04485,2.36,,,0,,,,
2741_-28,2741,-28,0.042,3.4,,,0,,,,
2750_-28,2750,-28,0.0761,4.09,,,0,,,,
2764_-28,2764,-28,0.04705,9.17,,,0,,,,
2775_-28,2775,-28,0.05345,6.22,,,0,,,,
2789_-28,2789,-28,0.051,3.6,,,0,,,,
2799_-28,2799,-28,0.053,1.9,,,0,,,,
2802_-28,2802,-28,0.051,1.7,,,0,,,,
2813_-28,2813,-28,0.05,3.3,,,0,,,,
2842_-28,2842,-28,0.041,0.2,,,0,,,,
2846_-28,2846,-28,0.0464,2.44,,,0,,,,
2847_-28,2847,-28,0.04885,0.14,,,0,,,,
2850_-28,2850,-28,0.0425,0.33,,,0,,,,
2869_-28,2869,-28,0.046,0.62,,,0,,,,
2874_-28,2874,-28,0.04495,8.34,,,0,,,,
2879_-28,2879,-28,0.0439,0.97,,,0,,,,
2880_-28,2880,-28,0.0443,3.83,,,0,,,,
2883_-28,2883,-28,0.0501,4.8,,,0,,,,
2889_-28,2889,-28,0.0444,0.64,,,0,,,,
2892_-28,2892,-28,0.04195,0.17,,,0,,,,
2893_-28,2893,-28,0.04375,0.48,,,0,,,,
2894_-28,2894,-28,0.04545,3.89,,,0,,,,
2903_-28,2903,-28,0.04635,5.34,,,0,,,,
2904_-28,2904,-28,0.0487,8.13,,,0,,,,
2906_-28,2906,-28,0.0484,2.34,,,0,,,,
2907_-28,2907,-28,0.0425,1.33,,,0,,,,
2911_-28,2911,-28,0.04715,7.05,,,0,,,,
2914_-28,2914,-28,0.0441,0.32,,,0,,,,
2920_-28,2920,-28,0.04425,1.44,,,0,,,,
2921_-28,2921,-28,0.0482,5.57,,,0,,,,
2926_-28,2926,-28,0.056,5.81,,,0,,,,
2928_-28,2928,-28,0.04335,0.16,,,0,,,,
2929_-28,2929,-28,0.05595,8.72,,,0,,,,
2939_-28,2939,-28,0.0442,4.48,,,0,,,,