bird_ID,elisa_od,elisa_cv,dpi,,,,,,,,,,
28_2667,0.045,0.31,28,,,,,,,,,,
28_2690,0.049,1.02,28,,,,,,,,,,
28_2929,0.043,0.49,28,,,,,,,,,,
28_2847,0.049,11.17,28,,,,,,,,,,
28_2741,0.062,8.20,28,,,,,,,,,,
28_2939,0.043,0.82,28,,,,,,,,,,
28_2573,0.044,3.02,28,,,,,,,,,,
28_2842,0.043,1.30,28,,,,,,,,,,
28_2632,0.044,0.65,28,,,,,,,,,,
28_2653,0.061,1.75,28,,,,,,,,,,
28_2648,0.052,23.64,28,,,,,,,,,,
28_2903,0.047,0.45,28,,,,,,,,,,
28_2687,0.051,14.24,28,,,,,,,,,,
28_2921,0.050,16.59,28,,,,,,,,,,
28_2892,0.043,1.96,28,,,,,,,,,,
28_2718,0.046,5.74,28,,,,,,,,,,
28_2789,0.045,2.22,28,,,,,,,,,,
28_1926,0.078,8.88,28,,,,,,,,,,
28_2874,0.052,23.46,28,,,,,,,,,,
28_2914,0.043,1.47,28,,,,,,,,,,
28_2623,0.046,6.34,28,,,,,,,,,,
28_2928,0.043,0.66,28,,,,,,,,,,
28_2603,0.048,17.70,28,,,,,,,,,,
28_2581,0.070,6.18,28,,,,,,,,,,
28_2775,0.073,1.75,28,,,,,,,,,,
28_2889,0.052,0.95,28,,,,,,,,,,
28_2850,0.053,15.74,28,,,,,,,,,,
28_2689,0.056,8.66,28,,,,,,,,,,
28_2813,0.049,12.41,28,,,,,,,,,,
28_2880,0.052,2.56,28,,,,,,,,,,
28_2894,0.058,6.18,28,,,,,,,,,,
28_2750,0.054,14.92,28,,,,,,,,,,
28_2920,0.050,8.79,28,,,,,,,,,,
28_2906,0.047,9.21,28,,,,,,,,,,
28_2907,0.049,10.19,28,,,,,,,,,,
28_2883,0.066,5.32,28,,,,,,,,,,
28_2799,0.045,1.58,28,,,,,,,,,,
28_2869,NA,NA,28,,,,,,,,,,
28_2764,0.045,2.06,28,,,,,,,,,,
28_2879,0.047,1.21,28,,,,,,,,,,
28_2879,0.046,4.60,28,,,,,,,,,,
28_2911,0.045,1.57,28,,,,,,,,,,
28_2802,0.044,1.28,28,,,,,,,,,,
28_2704,0.043,3.95,28,,,,,,,,,,
28_2655,0.04485,9.30,28,,,,,,,,,,
28_2904,0.04825,0.44,28,,,,,,,,,,
9_2764,0.0458,5.56,9,,,,,,,,,,
9_2920,0.0544,6.24,9,,,,,,,,,,
9_2892,0.0448,2.21,9,,,,,,,,,,
9_2894,0.04965,12.39,9,,,,,,,,,,
9_2926,0.0806,7.90,9,,,,,,,,,,
9_2603,0.04495,0.16,9,,,,,,,,,,
9_2623,0.04305,1.48,9,,,,,,,,,,
9_2914,0.04505,2.35,9,,,,,,,,,,
9_2690,0.04325,0.49,9,,,,,,,,,,
9_2907,0.05175,12.16,9,,,,,,,,,,
9_2581,0.04315,0.82,9,,,,,,,,,,
9_2880,0.04705,9.17,9,,,,,,,,,,
9_2883,0.0486,5.82,9,,,,,,,,,,
9_2889,0.04415,0.80,9,,,,,,,,,,
9_2648,0.05035,16.15,9,,,,,,,,,,
9_2741,0.0433,0.33,9,,,,,,,,,,
9_2904,0.04555,0.16,9,,,,,,,,,,
9_2903,0.046,4.61,9,,,,,,,,,,
9_2687,0.04935,0.43,9,,,,,,,,,,
9_2689,0.04335,2.77,9,,,,,,,,,,
9_2928,0.0444,7.64,9,,,,,,,,,,
9_2874,0.0438,0.97,9,,,,,,,,,,
9_2653,0.04295,0.49,9,,,,,,,,,,
9_2655,0.04455,1.11,9,,,,,,,,,,
9_2879,0.05095,16.52,9,,,,,,,,,,
9_2850,0.0511,16.05,9,,,,,,,,,,
9_2775,0.04665,1.97,9,,,,,,,,,,
9_2869,0.04725,7.93,9,,,,,,,,,,
10_2573,0.044,1.13,10,,,,,,,,,,
10_2799,0.0444,0.32,10,,,,,,,,,,
10_2906,0.0444,3.82,10,,,,,,,,,,
10_2789,0.0457,0.00,10,,,,,,,,,,
10_2911,0.04415,5.61,10,,,,,,,,,,
10_2750,0.0448,0.63,10,,,,,,,,,,
10_2921,0.0463,3.05,10,,,,,,,,,,
10_2802,0.0448,7.26,10,,,,,,,,,,
10_2704,0.05515,31.93,10,,,,,,,,,,
10_2813,0.04565,0.77,10,,,,,,,,,,
10_2846,0.04445,0.80,10,,,,,,,,,,
10_2929,0.0439,2.90,10,,,,,,,,,,
10_2718,0.04395,1.77,10,,,,,,,,,,
10_2939,0.04325,1.80,10,,,,,,,,,,
-28_2573,0.047,1.50,-28,,,,,,,,,,
-28_2603,0.048,2.80,-28,,,,,,,,,,
-28_2581,0.045,8.70,-28,,,,,,,,,,
-28_2623,0.0437,0.65,-28,,,,,,,,,,
-28_2632,0.04365,2.43,-28,,,,,,,,,,
-28_2648,0.053,3.10,-28,,,,,,,,,,
-28_2653,0.0486,0.29,-28,,,,,,,,,,
-28_2655,0.04515,0.16,-28,,,,,,,,,,
-28_2667,0.062,0.90,-28,,,,,,,,,,
-28_2684,0.04495,6.45,-28,,,,,,,,,,
-28_2687,0.046,8.70,-28,,,,,,,,,,
-28_2689,0.0446,5.39,-28,,,,,,,,,,
-28_2690,0.047,1.80,-28,,,,,,,,,,
-28_2704,0.0454,2.18,-28,,,,,,,,,,
-28_2718,0.04485,2.36,-28,,,,,,,,,,
-28_2741,0.042,3.40,-28,,,,,,,,,,
-28_2750,0.0761,4.09,-28,,,,,,,,,,
-28_2764,0.04705,9.17,-28,,,,,,,,,,
-28_2775,0.05345,6.22,-28,,,,,,,,,,
-28_2789,0.051,3.60,-28,,,,,,,,,,
-28_2799,0.053,1.90,-28,,,,,,,,,,
-28_2802,0.051,1.70,-28,,,,,,,,,,
-28_2813,0.05,3.30,-28,,,,,,,,,,
-28_2842,0.041,0.20,-28,,,,,,,,,,
-28_2846,0.0464,2.44,-28,,,,,,,,,,
-28_2847,0.04885,0.14,-28,,,,,,,,,,
-28_2850,0.0425,0.33,-28,,,,,,,,,,
-28_2869,0.046,0.62,-28,,,,,,,,,,
-28_2874,0.04495,8.34,-28,,,,,,,,,,
-28_2879,0.0439,0.97,-28,,,,,,,,,,
-28_2880,0.0443,3.83,-28,,,,,,,,,,
-28_2883,0.0501,4.80,-28,,,,,,,,,,
-28_2889,0.0444,0.64,-28,,,,,,,,,,
-28_2892,0.04195,0.17,-28,,,,,,,,,,
-28_2893,0.04375,0.48,-28,,,,,,,,,,
-28_2894,0.04545,3.89,-28,,,,,,,,,,
-28_2903,0.04635,5.34,-28,,,,,,,,,,
-28_2904,0.0487,8.13,-28,,,,,,,,,,
-28_2906,0.0484,2.34,-28,,,,,,,,,,
-28_2907,0.0425,1.33,-28,,,,,,,,,,
-28_2911,0.04715,7.05,-28,,,,,,,,,,
-28_2914,0.0441,0.32,-28,,,,,,,,,,
-28_2920,0.04425,1.44,-28,,,,,,,,,,
-28_2921,0.0482,5.57,-28,,,,,,,,,,
-28_2926,0.056,5.81,-28,,,,,,,,,,
-28_2928,0.04335,0.16,-28,,,,,,,,,,
-28_2929,0.05595,8.72,-28,,,,,,,,,,
-28_2939,0.0442,4.48,-28,,,,,,,,,,