bird_ID,hapto_int,hapto_abs,hapto.oor,red,hapto_plate,hapto_cv,hapto_ext
-12_2889,441.7567346,0.1589,NA,0.10145,1,0.152190383,2.942954425
2_2893,377.5613056,0.10715,NA,0.1293,1,0.085129981,1.268103481
-12_2704,1000,0.3287,High,0.1808,1,0.027535646,22.89917276
2_2883,289.6790649,0.05715,NA,0.07435,1,0.449133441,0.532844153
-12_2667,1000,0.325,High,0.186,1,0.088333955,22.12412578
2_2813,1000,0.40695,High,0.2627,1,0.255945027,44.07509986
-12_2850,519.2314963,0.24255,NA,0.2223,1,0.410183154,9.246381845
2_2764,1000,0.35525,High,0.2915,1,0.409435228,0.568099197
-12_2880,382.1726924,0.1104,NA,0.11235,1,0.105041225,1.339413807
2_2869,563.527028,0.3026,NA,0.2998,1,0.027106539,17.82080768
-12_2914,1000,0.50055,High,0.2942,1,0.14140723,83.59941621
2_2704,215.6076551,0.02985,NA,0.0824,1,0.125549948,0.286188171
-12_2847,459.7414681,0.1761,NA,0.14275,1,0.144553345,3.814975972
2_2799,455.7261823,0.17215,NA,0.11605,1,0.210714946,3.598156587
-12_2689,383.1511837,0.0558,NA,0.1101,2,0.06550853,0.352265911
2_2874,556.4288067,0.07745,NA,0.42495,2,1.00287859,0.533550703
-12_2655,549.8595493,0.07665,NA,0.1128,2,0.067701713,0.526429292
2_2581,199.0757773,0.0317,NA,0.2355,2,0.971033261,0.181690739
-12_2904,118.0512137,0.02085,NA,0.04905,2,0.056222558,0.117058441
2_2907,695.1504605,0.09395,NA,0.23835,2,0.415631047,0.686941071
-12_2929,208.8392374,0.033,NA,0.10455,2,0.115653046,0.189965152
2_2892,281.0577129,0.04255,NA,0.14295,2,0.286404216,0.254081031
-12_2903,1371.885848,0.16435,NA,0.2718,2,0.045267322,1.445386863
2_2894,354.7689597,0.05215,NA,0.1101,2,0.13101706,0.324192868
-12_2883,167.6199549,0.0275,NA,0.0651,2,0.091239585,0.155723615
2_2741,491.7424635,0.0695,NA,0.0954,2,0.097838674,0.464170425
-12_2928,154.922031,0.0258,NA,0.075,2,0.101823376,0.14555032
2_2880,348.1894033,0.0513,NA,0.11805,2,0.080863545,0.317765078
-12_2907,#VALUE!,0.0111,Low,0.0471,2,0.162139135,0.066015571
2_2653,497.3860154,0.0702,NA,0.1515,2,0.072810995,0.47015322
-12_2920,135.536381,0.0232,NA,0.0729,2,0.029099044,0.130373334
2_2879,257.5094989,0.03945,NA,0.06285,2,0.02362648,0.232636083
-12_2874,510.3225637,0.0718,NA,0.1641,2,0.142196976,0.483921042
2_2846,#VALUE!,0.0173,Low,0.096,2,0.154679608,0.097681462
-12_2879,163.8833707,0.027,NA,0.07815,2,0.116720121,0.152711111
2_2648,192.699261,0.03085,NA,0.1449,2,0.152254876,0.176340708
-12_2623,#VALUE!,0.01085,Low,0.07935,2,0.189809382,0.064797824
2_2667,145.9696643,0.0246,NA,0.09465,2,0.096372715,0.138487806
-12_2842,1025.091643,0.13025,NA,0.2973,2,0.141278651,1.06130883
2_2689,609.4899118,0.08385,NA,0.4497,2,0.129251006,0.59160395
-12_2869,225.7718726,0.03525,NA,0.09015,2,0.143539147,0.20454687
2_2889,1021.249412,0.12985,NA,0.59745,2,0.327722601,1.05695692
-12_2813,290.2039305,0.04375,NA,0.2508,2,0.287579313,0.26254184
2_2842,239.3518165,0.03705,NA,0.1749,2,0.164951153,0.21644753
-12_2911,#VALUE!,0.014,Low,0.11565,2,0.056862024,0.08047827
2_2929,173.9759669,0.02835,NA,0.09495,2,0.328419263,0.16088361
-12_2939,496.9826268,0.07015,NA,0.2388,2,0.492132107,0.46972505
2_2603,#VALUE!,0.5145,High,1.3029,2,0.18886573,3.45389069
-12_2799,179.5882582,0.0291,NA,0.1656,2,0.653305178,0.1654769
2_2911,#VALUE!,0.01025,Low,0.1416,2,0.056928088,0.06189416
-12_2684,#VALUE!,0.0155,Low,0.144,2,0.415425234,0.08820029
2_2903,744.5945728,0.09965,NA,0.6633,2,0.034539816,0.74262397
-12_2741,579.9451282,0.0803,NA,0.38385,2,0.358665339,0.55916743
2_2684,481.6889357,0.06825,NA,0.6606,2,0.064224049,0.45354894
2_2813,579.2288382,0.05455,NA,0.16965,3,0.182771872,0.568099197
-12_2648,418.6694534,0.03905,NA,0.1512,3,0.132186415,0.349395983
2_2921,227.9641982,0.0181,NA,0.13755,3,0.234400038,0.133381005
-12_2926,371.9632945,0.03415,NA,0.1362,3,0.039341226,0.289931503
2_2928,371.9632945,0.03415,NA,0.2517,3,0.33336513,0.289931503
-12_2775,240.6484165,0.01955,NA,0.1467,3,0.408711336,0.144926035
2_2920,355.6710761,0.0324,NA,0.102,3,0.178959124,0.269940003
-12_2750,3125.013528,0.17105,NA,0.79905,3,0.202148621,2.723721879
2_2802,444.6616415,0.0417,NA,0.14685,3,0.200092566,0.383610879
-12_2764,1202.004057,0.0993,NA,0.19635,3,0.066936594,1.378977614
2_2623,754.5400394,0.0693,NA,0.2904,3,0.028569971,0.812127093
-12_2789,294.4306981,0.02565,NA,0.14325,3,0.041351274,0.199328609
2_2939,525.0695497,0.04955,NA,0.17205,3,0.509459376,0.492843904
-12_2802,357.9869341,0.03265,NA,0.1476,3,0.153765946,0.272754674
2_2632,330.8920196,0.0297,NA,0.1617,3,0.057139942,0.240434304
-12_2906,188.0043426,0.01355,NA,0.07455,3,0.015655501,0.10076482
2_2573,299.7853535,0.02625,NA,0.10725,3,0.266680272,0.205173702
-12_2603,210.0195178,0.01605,NA,0.0975,3,0.16300904,0.117999531
2_2775,268.296761,0.0227,NA,0.1137,3,0.099680251,0.171861905
2-12_2846,303.3635304,0.02665,NA,0.081,3,0.087559189,0.209118271
2_2926,305.6034426,0.0269,NA,0.08265,3,0.120917888,0.211602966
-12_2718,243.7122688,0.0199,NA,0.1071,3,0.191878222,0.14779425
2_2750,349.6674328,0.03175,NA,0.16185,3,0.060131915,0.262686871
-12_2894,810.5594368,0.0736,NA,0.32325,3,0.049958631,0.888546909
2_2847,363.5605256,0.03325,NA,0.12105,3,0.078685567,0.279566208
-12_2921,249.4063016,0.02055,NA,0.1494,3,0.120431812,0.153204264
2_2690,1723.417431,0.12525,NA,0.68985,3,0.110088481,1.897963044
-12_2573,379.947132,0.035,NA,0.1404,3,0.084852814,0.299882396
2_2914,214.8388807,0.0166,NA,0.0705,3,0.034077435,0.122016963
-12_2690,208.7041431,0.0159,NA,0.11715,3,0.346882572,0.116917887
2_2904,393.2023042,0.0364,NA,0.24945,3,0.388520209,0.316609388
-12_2653,140.2049771,0.0083,NA,0.0675,3,0.579316399,0.070205176
2_2789,161.0958944,0.01055,NA,0.14445,3,0.609921489,0.082350399
-12_2893,210.4578918,0.0161,NA,0.12345,3,0.008783935,0.118361417
2_2850,250.7211952,0.0207,NA,0.09975,3,0.027327798,0.154468049
-12_2581,616.9214424,0.0579,NA,0.15045,3,0.202728369,0.620783016
2_2656,726.1630233,0.06705,NA,0.26505,3,0.005272981,0.773004379
-12_2892,188.4471994,0.0136,NA,0.10995,3,0.135182179,0.101092855
2_2906,134.94956,0.00775,NA,0.06855,3,0.53831355,0.067457631
-12_2632,327.7094952,0.02935,NA,0.16275,3,0.084322785,0.236730775
2718_PID2,#VALUE!,0.6927,High,0.3843,3,NA,1.041468563